random,as1,as2,as4,as5
69.3,72.3,73.4,71.975,71.82
69.3,72.4,73.4,71.975,71.82
69.3,72.0,72.4,71.1,71.69999999999999
69.3,72.0,72.4,71.1,71.69999999999999
69.3,71.4,72.55,71.1,71.69999999999999
69.3,71.9,72.55,71.1,71.69999999999999
69.3,72.3,72.5,71.575,71.69999999999999
69.3,71.5,72.5,71.575,72.0
69.3,71.8,73.55,71.575,72.0
69.3,72.4,73.55,71.575,72.0
69.3,71.9,72.95,71.375,72.0
69.3,72.2,72.95,71.375,72.0
69.3,72.7,73.0,71.375,72.24
69.3,71.9,73.0,71.375,72.24
69.3,72.2,72.95,71.775,72.24
69.3,71.7,72.95,71.775,72.24
69.3,72.0,72.4,71.775,72.24
69.3,72.5,72.4,71.775,72.02000000000001
69.3,72.2,72.95,71.125,72.02000000000001
69.3,72.0,72.95,71.125,72.02000000000001
69.3,72.3,72.65,71.125,72.02000000000001
69.3,72.9,72.65,71.125,72.02000000000001
69.3,71.9,73.05,71.75,72.48
69.3,72.0,73.05,71.75,72.48
69.3,72.6,72.8,71.75,72.48
69.3,71.7,72.8,71.75,72.48
69.3,71.5,72.55,71.8,72.48
69.3,72.4,72.55,71.8,72.67999999999999
69.3,71.7,72.25,71.8,72.67999999999999
69.3,72.8,72.25,71.8,72.67999999999999
69.3,72.2,72.5,72.075,72.67999999999999
69.3,72.5,72.5,72.075,72.67999999999999
69.3,72.4,73.05,72.075,72.17999999999999
69.3,72.1,73.05,72.075,72.17999999999999
69.3,72.4,72.9,71.825,72.17999999999999
69.3,73.0,72.9,71.825,72.17999999999999
69.3,72.7,73.1,71.825,72.17999999999999
69.3,72.4,73.1,71.825,72.44000000000001
69.3,72.1,73.2,71.775,72.44000000000001
69.3,73.0,73.2,71.775,72.44000000000001
69.3,72.2,72.3,71.775,72.44000000000001
69.3,72.8,72.3,71.775,72.44000000000001
69.3,71.9,72.4,71.825,72.14
69.3,72.4,72.4,71.825,72.14
69.3,71.8,73.0,71.825,72.14
69.3,72.1,73.0,71.825,72.14
69.3,72.4,73.5,72.25,72.14
69.3,73.0,73.5,72.25,72.1
69.3,72.3,72.9,72.25,72.1
69.3,73.1,72.9,72.25,72.1
69.3,72.3,73.4,71.65,72.1
69.3,72.7,73.4,71.65,72.1
69.3,73.0,73.1,71.65,72.16
69.3,72.3,73.1,71.65,72.16
69.3,72.7,73.4,71.35,72.16
69.3,72.0,73.4,71.35,72.16
69.3,71.5,73.05,71.35,72.16
69.3,72.4,73.05,71.35,72.67999999999999
69.3,71.9,72.9,72.825,72.67999999999999
69.3,72.3,72.9,72.825,72.67999999999999
69.3,72.6,73.0,72.825,72.67999999999999
69.3,72.5,73.0,72.825,72.67999999999999
69.3,71.9,72.85,72.375,72.22
69.3,71.6,72.85,72.375,72.22
69.3,72.2,73.4,72.375,72.22
69.3,72.2,73.4,72.375,72.22
69.3,72.3,73.4,71.9,72.22
69.3,72.5,73.4,71.9,73.0
69.3,72.0,73.05,71.9,73.0
69.3,72.7,73.05,71.9,73.0
69.3,72.4,73.7,72.275,73.0
69.3,72.7,73.7,72.275,73.0
69.3,72.7,73.35,72.275,72.52
69.3,71.8,73.35,72.275,72.52
69.3,72.9,73.35,72.2,72.52
69.3,73.7,73.35,72.2,72.52
69.3,72.4,72.95,72.2,72.52
69.3,72.5,72.95,72.2,72.34
69.3,72.8,73.0,72.0,72.34
69.3,72.3,73.0,72.0,72.34
69.3,72.5,73.35,72.0,72.34
69.3,72.6,73.35,72.0,72.34
